Violation Code,Violation Precinct,Registration State,Vehicle Make,Violation Time,Violation County,Vehicle Color
71,23,NY,HYUND,0240A,NY,
71,23,NY,HONDA,0724P,NY,
71,23,NY,ME/BE,0248A,,BLK
98,61,NY,NISSA,0750A,K,BLACK
78,78,NY,DODGE,0208A,,WHITE
78,70,MA,DODGE,0203A,,WHITE
78,78,NY,FORD,0201A,K,WHITE
78,78,NY,FORD,0150A,,WHT
74,47,99,HONDA,1100P,BX,LGHTB
19,32,NJ,HONDA,1010A,NY,ORG
19,32,NJ,NISSA,1006A,NY,BLU
20,1,NY,SMART,1001A,NY,GRAY
16,9,NY,ME/BE,0537P,NY,
14,13,NY,TOYOT,0051A,NY,YW
16,18,VA,HONDA,0535P,NY,BLUE
16,18,FL,KIA,0534P,NY,BLACK
16,18,NY,HONDA,0530A,NY,BLACK
16,18,NV,NISSA,0534P,NY,SILVE
16,18,99,ME/BE,0532P,,WHITE
16,18,TN,FORD,0529P,NY,WHITE
14,18,NY,HONDA,0515P,NY,BLUE
85,41,NJ,FRUEH,0315A,BX,WHITE
71,114,NY,CHRYS,0408P,Q,RED
10,114,NY,INFIN,0918A,Q,WHI
10,114,NY,GMC,0916A,Q,BLK
24,114,NY,HONDA,0102A,Q,BLK
14,114,NY,CHRYS,0408P,Q,RED
66,41,TN,,0530P,,BLK
30,0,PA,,0525P,NY,WHITE
14,10,PA,HONDA,0215P,NY,
71,60,NY,NISSA,0126A,K,WH
74,60,NY,NISSA,0126A,K,WH
40,78,NY,NISSA,0235A,K,BLK
19,32,NY,HONDA,0955A,NY,BLU
19,32,NY,JEEP,1116A,,GRAY
19,32,99,BMW,1116A,,BLACK
98,73,NY,NISSA,0420P,,
24,43,NY,FORD,0525A,BX,WHITE
98,45,NY,FORD,0144P,BX,BROWN
16,18,OK,,0540P,NY,WHITE
16,18,NY,ME/BE,0532P,NY,WHITE
16,18,NY,ME/BE,0532P,NY,SILVE
16,18,NY,VOLVO,0523P,NY,GRAY
16,18,NY,TOYOT,0521P,NY,GRAY
16,18,NY,FORD,0520P,NY,GOLD
14,18,NY,FORD,0516P,NY,WHITE
21,72,NY,HONDA,1136A,K,
98,104,99,NISSA,0140P,Q,GREY
10,114,99,CHEVR,0930A,Q,GRY
71,61,NY,VOLKS,0455P,K,GY
71,61,NY,TOYOT,0309P,K,TN
71,70,NY,TOYOT,0244P,K,BL
71,66,NY,TOYOT,0121P,K,GY
71,66,NY,CHEVR,0114P,K,BK
71,70,NY,NISSA,1219P,K,GY
71,70,NY,NISSA,1215P,K,WH
71,61,NY,FORD,1127A,K,WH
71,63,NY,TOYOT,0217P,K,WH
71,63,NY,TOYOT,0207P,K,GY
71,63,NY,MAZDA,0159P,K,GY
71,63,NY,DODGE,0156P,K,BK
14,63,NY,TOYOT,0147P,K,BK
20,63,NY,HONDA,1133A,K,BLACK
20,63,NY,FORD,1131A,K,BK
71,63,NY,LEXUS,1127A,K,BLACK
40,63,NY,HONDA,1117A,K,BK
71,63,NY,HONDA,1107A,K,GY
71,63,NY,HONDA,1042A,K,GY
14,17,NY,FRUEH,0437P,NY,WH
13,17,NY,HIN,0420P,NY,WH
46,17,NY,FRUEH,0417P,NY,WH
20,17,OK,CHRYS,0351P,NY,GREY
13,17,NY,FORD,0222P,NY,WH
13,17,NY,FORD,0221P,NY,WH
64,17,NJ,MAZDA,0218P,NY,BLACK
64,17,WI,TOYOT,0216P,NY,WHITE
64,17,NY,JAGUA,0210P,NY,BK
14,14,NJ,FORD,0126P,NY,BLACK
14,14,NJ,HONDA,0118P,NY,SILVE
14,17,IN,FRUEH,1231P,NY,YELLO
40,79,NY,FORD,0607P,K,GY
71,79,NY,FORD,0235P,K,BK
71,79,NY,FORD,0227P,K,GY
71,79,NY,TOYOT,0216P,K,GL
71,79,NY,NISSA,0139P,K,BL
70,79,NY,CADIL,0117P,K,BK
40,81,NY,FORD,1247P,K,GY
71,79,NY,INFIN,1158A,K,BK
40,79,VA,FORD,1152A,K,RED
71,88,NY,TOYOT,1112A,K,GY
14,84,NC,CADIL,1054A,K,BLACK
71,49,NY,JEEP,0403P,BX,BK
71,49,NY,INFIN,0231P,BX,BK
70,49,NY,NISSA,0229P,BX,RD
71,49,NY,HONDA,0217P,BX,GY
71,49,NY,FORD,0207P,BX,GR
40,49,TX,JEEP,1149A,BX,WHITE
71,49,NY,TOYOT,1143A,BX,BK
14,49,CT,MAZDA,1121A,BX,BLACK
14,52,NY,TOYOT,0307P,BX,BK
14,46,NY,TOYOT,0150P,BX,BK
71,52,NY,NISSA,1124A,BX,RD
14,94,MA,BMW,0512P,K,BLACK
14,94,NJ,HONDA,0510P,K,BLACK
19,94,NJ,HONDA,0426P,K,WHITE
14,94,IL,TOYOT,0348P,K,BLACK
14,94,NY,HONDA,0325P,K,GY
71,94,NY,TOYOT,1244P,K,GY
71,94,NY,SUBAR,1151A,K,BL
71,94,NY,BMW,1144A,K,BK
70,94,NY,BMW,1143A,K,BK
71,94,NY,VOLKS,1137A,K,GY
14,84,FL,JEEP,0531P,K,OTHER
14,84,WA,KIA,0408P,K,RED
71,88,NY,HYUND,0342P,K,BL
71,88,NY,HONDA,0302P,K,BLUE
14,84,NY,ACURA,0246P,K,GY
71,84,NY,TOYOT,1245P,K,BK
71,84,NY,JEEP,1217P,K,GR
20,84,NC,HONDA,1213P,K,OTHER
19,84,NY,TOYOT,0548P,K,GY
71,84,NY,ME/BE,0433P,K,GY
40,84,NY,ME/BE,0246P,K,WHITE
