Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Violation Time,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Law Section,Sub Division,Vehicle Color,Vehicle Year
1434219940,CWY5549,NY,PAS,01/01/2018,71,SDN,HYUND,20180804,23,23,822,956127,822,0240A,NY,F,325,E 112TH ST,408,D4,,0
1434219963,HCR6106,NY,PAS,01/01/2018,71,VAN,HONDA,20191124,23,23,822,956127,822,0724P,NY,F,410,E 100TH ST,408,J6,,0
1434219951,GZX6116,NY,PAS,01/01/2018,71,SDN,ME/BE,20190922,23,23,822,956127,822,0248A,,F,2175,1ST AVE,408,J6,BLK,2012
1429186926,HSH4411,NY,PAS,01/01/2018,98,SDN,NISSA,20190824,61,61,61,942166,61,0750A,K,F,2419,E 13,408,I3,BLACK,2012
1434582802,53216ME,NY,COM,01/01/2018,78,VAN,DODGE,20191130,78,78,0,686320,KS14,0208A,,F,282,4TH AVE,408,K6,WHITE,2016
1434582796,581012,MA,COM,01/01/2018,78,VAN,DODGE,0,70,70,0,686370,KS14,0203A,,O,283,4TH AVE,408,K6,WHITE,0
1434582784,88175MK,NY,COM,01/01/2018,78,VAN,FORD,20191130,78,78,0,686320,KS14,0201A,K,F,283,4TH AVENUE,408,D1,WHITE,2017
1434582772,85353JX,NY,COM,01/01/2018,78,VAN,FORD,20190827,78,78,0,686320,KS25,0150A,,F,546,4TH AVE,408,D1,WHT,1999
1358643453,BLANKPLATE,99,999,01/01/2018,74,SDN,HONDA,0,47,47,0,957487,PSA8,1100P,BX,F,,F/O 1961 SCHIEFFELIN,408,K6,LGHTB,0
1434199708,P78DKJ,NJ,PAS,01/01/2018,19,SDN,HONDA,0,32,32,0,962207,PSA1,1010A,NY,F,2790,8TH AVE,408,C3,ORG,0
1434199691,D88HKM,NJ,PAS,01/01/2018,19,SDN,NISSA,0,32,32,0,962207,PSA6,1006A,NY,F,2790,8TH AVE,408,C3,BLU,0
1435612000,55342MJ,NY,COM,01/01/2018,20,SDN,SMART,20180831,1,1,0,358945,SICA,1001A,NY,O,20,PINE ST,408,C,GRAY,2013
1434122920,59121MK,NY,COM,01/01/2018,16,VAN,ME/BE,20190930,9,9,9,962304,9,0537P,NY,F,5,ST MARKS,408,F1,,2013
1434117650,3NSSA,NY,PAS,01/01/2018,14,TAXI,TOYOT,20180228,13,13,13,960375,13,0051A,NY,F,150,W 21 ST,408,C,YW,2012
1425274870,D8K113,VA,PAS,01/01/2018,16,SUBN,HONDA,0,18,18,420,942028,420,0535P,NY,F,54,W 47 ST,408,K2,BLUE,0
1425274869,XC615,FL,PAS,01/01/2018,16,SUBN,KIA,0,18,18,420,942028,420,0534P,NY,F,54,W 47 ST,408,K2,BLACK,0
1425274833,FEL1251,NY,PAS,01/01/2018,16,SDN,HONDA,20180821,18,18,420,942028,420,0530A,NY,F,50,W 47 ST,408,K2,BLACK,2010
1425274821,764A37,NV,PAS,01/01/2018,16,SUBN,NISSA,0,18,18,420,942021,420,0534P,NY,F,50,W 47 ST,408,K2,SILVE,0
1425274808,BWBH800,99,PAS,01/01/2018,16,SDN,ME/BE,0,18,18,420,942028,420,0532P,,F,30,W 47 ST,408,K2,WHITE,0
1425274584,0GZ9L4,TN,PAS,01/01/2018,16,P-U,FORD,0,18,18,420,942028,420,0529P,NY,F,10,W 47 ST,408,K2,WHITE,0
1425274535,EDA8470,NY,PAS,01/01/2018,14,SUBN,HONDA,20190923,18,18,420,942028,420,0515P,NY,O,14,W 47 ST,408,F1,BLUE,2007
1434939777,AU9670,NJ,PAS,01/01/2018,85,TRAC,FRUEH,0,41,41,0,610617,BX02,0315A,BX,F,490,LONGFELLOW AVE,408,K6,WHITE,0
1421814390,FGP3992,NY,PAS,01/01/2018,71,SUBN,CHRYS,20190115,114,114,809,958755,809,0408P,Q,F,,R/O 1-05 ASTORIA BLV,408,B,RED,2007
1421813877,DBZ6391,NY,PAS,01/01/2018,10,SUBN,INFIN,20190223,114,114,0,961298,PSA9,0918A,Q,F,,S/E C/O 41 RD,408,B,WHI,2012
1421813865,DEZ8826,NY,PAS,01/01/2018,10,SUBN,GMC,20190427,114,114,0,941227,PSA9,0916A,Q,,,S/E C/O 41 RD,408,B,BLK,2017
1421813646,T629484C,NY,OMT,01/01/2018,24,TAXI,HONDA,20180331,114,114,809,935792,809,0102A,Q,F,12-35,35 AVE,408,J2,BLK,2016
1421812228,FGP3992,NY,PAS,01/01/2018,14,SUBN,CHRYS,20190115,114,114,809,962113,809,0408P,Q,F,,R/O 1-05 ASTORIA BLV,408,D,RED,2007
1434385644,T969878,TN,PAS,01/01/2018,66,TRL,,0,41,41,0,670777,0PIU,0530P,,,,W/S WORTHEN ST,408,D1,BLK,0
1437237198,MT41001,PA,PAS,01/01/2018,30,BUS,,0,,0,401,940046,401,0525P,NY,,,C/O 39 ST,408,C3,WHITE,0
1437261395,KDR4144,PA,PAS,01/01/2018,14,SDN,HONDA,0,10,10,401,957845,401,0215P,NY,,,N/S 40 ST,408,C,,0
